NHM specimen number,Image filename,View,Species,Subspecies,Sex,Additional taxonomic information (from specimen labels),Type Status,Hybrid status of additional taxonomic information,Included in reduced dataset,Locality,Locality latitude,Locality longitude
10428754,10428754_V_lowres.tif,ventral,erato,hydara,male,f._hydara,,subspecies synonym,1,Atanquez COL MA,10.7,-73.35
10428293,10428293_V_lowres.tif,ventral,melpomene,amandus,male,nr._aphrodyte_hyb.,,hybrid,0,Cochabamba BOL CO,,
10428743,10428743_D_lowres.tif,dorsal,erato,hydara,male,ab._tristis,,hybrid,0,Lino PAN CQ,8.8,-82.43333333
10429232,10429232_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Villavicencio COL,4.15,-73.63333333
10428982,10428982_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Panama  COUNTRY,,
10428398,10428398_D_lowres.tif,dorsal,melpomene,melpomene,male,ab._collis,,hybrid,0,St Jean du Maroni FRG LM,5.4,-54.08333333
10428203,10428203_V_lowres.tif,ventral,melpomene,malleti,male,f._adonides_hyb.,,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10428937,10428937_D_lowres.tif,dorsal,erato,microclea,male,f._microclea,,subspecies synonym,1,La Merced  PER JU,-11.05,-75.31666667
10428319,10428319_V_lowres.tif,ventral,melpomene,nanna,male,nanna,,valid subspecies,1,Espirito Santo BRA ES,-20.33333333,-40.28333333
10428873,10428873_D_lowres.tif,dorsal,erato,cyrbia,male,cyrbia,,valid subspecies,1,Paramba ECD IM,0.816666667,-78.35
10428050,10428050_V_lowres.tif,ventral,melpomene,cythera,female,vulcanus_sticheli,,hybrid,0,Paramba ECD IM,0.816666667,-78.35
10428952,10428952_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Tampico MEX TM,22.23333333,-97.85
10428303,10428303_D_lowres.tif,dorsal,melpomene,burchelli,male,burchelli,,valid subspecies,0,Maranham BRA MH,-2.52972,-44.30278
10428003,10428003_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Muzo COL BY,5.533333333,-74.1
10428189,10428189_V_lowres.tif,ventral,melpomene,plesseni,female,f._clytie_hyb.,,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10428189,10428189_D_lowres.tif,dorsal,melpomene,plesseni,female,f._clytie_hyb.,,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10429072,10429072_V_lowres.tif,ventral,erato,etylus,female,f._etylus,,subspecies synonym,1,"Napo, Rio Napo,  ECD",-1.5833333330000001,-77.75
10428174,10428174_V_lowres.tif,ventral,melpomene,plesseni,female,f._pura,,subspecies synonym,1,Canelos ECD PA,-1.5833333330000001,-77.75
10427990,10427990_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Veraguas PAN VE,8.866666667,-80.9
10429161,10429161_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Santa Tecla ELS LL,13.68333333,-89.28333333
10428540,10428540_D_lowres.tif,dorsal,erato,phyllis,male,anacreon,,hybrid,0,Santa Cruz de la Sierra BOL SC,-17.8,-63.16666667
10428333,10428333_D_lowres.tif,dorsal,melpomene,thelxiopeia,male,thelxiopeia,,valid subspecies,1,St Jean du Maroni FRG LM,5.4,-54.08333333
10428787,10428787_D_lowres.tif,dorsal,erato,hydara,male,f._hydara,,subspecies synonym,1,Puerto Berrio COL AN,6.533333333,-74.4
10427987,10427987_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Pejivalle CRI CA,9.816666667,-83.7
10429045,10429045_V_lowres.tif,ventral,erato,lativitta,male,f._feyeri,,hybrid,0,Rio Negro  COL,4.25,-73.75
10428406,10428406_D_lowres.tif,dorsal,melpomene,melpomene,male,f._melpomene,,subspecies synonym,1,Piquia BRA PA,-2.666666667,-54.96666667
10428706,10428706_D_lowres.tif,dorsal,erato,erato,female,erato,,valid subspecies,1,Isthmus PAN ,,
10428530,10428530_V_lowres.tif,ventral,erato,phyllis,male,phyllis,,valid subspecies,0,Rio Mamore prov Sara BOL SC,-17.25,-63.75
10428244,10428244_D_lowres.tif,dorsal,melpomene,aglaope,male,f._cognata,ST,subspecies synonym,1,Pozuzo  PER PA,-10.11666667,-75.53333333
10427999,10427999_V_lowres.tif,ventral,melpomene,rosina,female,rosina,,valid subspecies,1,Chiriqui PAN CQ,8.383333333,-82.33333333
10428509,10428509_D_lowres.tif,dorsal,erato,phyllis,female,amatus,,hybrid,0,Buenavista BOL SC,-17.45,-64.66666667
10429179,10429179_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Pozo Azul de Pirris CRI SJ,9.583333332999999,-84.33333333
10428518,10428518_V_lowres.tif,ventral,erato,phyllis,male,f._athene_hyb.,,hybrid,0,Ecuador  COUNTRY,,
10428570,10428570_V_lowres.tif,ventral,erato,phyllis,male,f._diffluens,,subspecies synonym,1,Guayaquil ECD,-2.166666667,-79.96666667
10429019,10429019_V_lowres.tif,ventral,erato,notabilis,male,f._rubrescens,,hybrid,0,Prov. Sara BOL SC,-16.83333333,-63.91666667
10428742,10428742_D_lowres.tif,dorsal,erato,hydara,male,ab._tristis,,hybrid,0,Jurua Alto BRA AC,,
10428902,10428902_V_lowres.tif,ventral,erato,cyrbia,female,f._cyrbia,,subspecies synonym,1,Babahoyo ECD LR,-1.8166666669999998,-79.51666667
10429189,10429189_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Las Concavas CRI CA,9.839447222,-83.89027222
10428954,10428954_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Vera Cruz MEX VC,19.2,-96.13333333
10428131,10428131_D_lowres.tif,dorsal,melpomene,amaryllis,male,melpophylla_hyb.,,hybrid,0,San Antonio de Cumbasa PER SM,-6.416666667,-76.4
10428947,10428947_D_lowres.tif,dorsal,erato,petiverana,male,mexicana,ST,subspecies synonym,1,Vera Cruz MEX VC,19.2,-96.13333333
10428599,10428599_D_lowres.tif,dorsal,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Capiazuti ARG,-22.18333333,-63.78333333
10428583,10428583_D_lowres.tif,dorsal,erato,phyllis,female,f._diffluens,ST,subspecies synonym,1,Santa Cruz de la Sierra BOL SC,-17.8,-63.16666667
10428610,10428610_D_lowres.tif,dorsal,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Posadas ARG MI,-27.38333333,-55.88333333
10428352,10428352_D_lowres.tif,dorsal,melpomene,thelxiopeia,male,thelxiopeia,,valid subspecies,1,St Jean du Maroni FRG LM,5.4,-54.08333333
10428338,10428338_D_lowres.tif,dorsal,melpomene,thelxiopeia,male,thelxiopeia,,valid subspecies,1,Bas Maroni FRG LM,5.25,-54.25
10429138,10429138_V_lowres.tif,ventral,erato,lativitta,female,f._lativitta,ST,subspecies synonym,1,Teffe BRA AM,-3.366666667,-64.73333333
10428375,10428375_D_lowres.tif,dorsal,melpomene,melpomene,female,ab._atrosecta,,subspecies synonym,1,Roches de Kourou FRG,5.109236111,-52.60560278
10428875,10428875_V_lowres.tif,ventral,erato,cyrbia,male,cyrbia,,valid subspecies,1,Paramba ECD IM,0.816666667,-78.35
10428464,10428464_D_lowres.tif,dorsal,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Botero COL AN,6.533333333,-75.25
10428229,10428229_V_lowres.tif,ventral,melpomene,aglaope,male,f._aglaope,,subspecies synonym,1,Rio Pishcobamba via Vilcabamba ECD LO,-4.273538889,-79.20461389
10428958,10428958_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Piste MEX YU,20.71666667,-88.78333333
10428353,10428353_D_lowres.tif,dorsal,melpomene,thelxiopeia,male,thelxiopeia,,valid subspecies,1,St Jean du Maroni FRG LM,5.4,-54.08333333
10428023,10428023_D_lowres.tif,dorsal,melpomene,vulcanus,male,vulcanus,,valid subspecies,1,Pavarandocito COL AN,7.297222222,-76.52694444
10428171,10428171_D_lowres.tif,dorsal,melpomene,plesseni,male,f._pura,,subspecies synonym,1,Canelos ECD PA,-1.5833333330000001,-77.75
10428093,10428093_V_lowres.tif,ventral,melpomene,xenoclea,male,f._xenoclea,,subspecies synonym,1,Perene Rio PER JU,-11.15,-74.3
10428533,10428533_V_lowres.tif,ventral,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Yhu PAR CZ,-25.06666667,-55.91666667
10429092,10429092_D_lowres.tif,dorsal,erato,luscombei,male,luscombei,,valid subspecies,1,Marcapata PER CU,-13.43333333,-70.91666667
10428580,10428580_V_lowres.tif,ventral,erato,phyllis,female,f._diffluens,ST/AT,subspecies synonym,1,Guayaquil ECD,-2.166666667,-79.96666667
10428405,10428405_D_lowres.tif,dorsal,melpomene,melpomene,male,f._melpomene,,subspecies synonym,1,Colombian Coast,,
10428439,10428439_V_lowres.tif,ventral,melpomene,melpomene,male,f._melpomene,,subspecies synonym,1,Ashpiyaco ECD,-1.5833333330000001,-77.75
10429169,10429169_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,San Agustin ELS US,13.43333333,-88.63333333
10428072,10428072_D_lowres.tif,dorsal,melpomene,xenoclea,male,var._confluens_hyb.,ST,hybrid,0,Chanchamayo PER JU,-11.06666667,-75.31666667
10428068,10428068_V_lowres.tif,ventral,melpomene,cythera,female,cythera,,valid subspecies,1,Balzapamba ECD BO,-1.783333333,-79.16666667
10428449,10428449_D_lowres.tif,dorsal,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Muzo COL BY,5.533333333,-74.1
10429033,10429033_D_lowres.tif,dorsal,erato,notabilis,male,radiata_hyb.,,hybrid,0,Retalhuleu GUA,14.53333333,-91.68333333
10429060,10429060_D_lowres.tif,dorsal,erato,etylus,female,ab._insignis_hyb.,,hybrid,0,Zamora ECD ZC,-4.066666667,-78.96666667
10428748,10428748_V_lowres.tif,ventral,erato,hydara,female,ab._tristis,,hybrid,0,Taboga Isla PAN PA,8.783333333,-79.55
10429162,10429162_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Apopa ELS SS,13.8,-89.18333333
10428434,10428434_V_lowres.tif,ventral,melpomene,melpomene,female,ab._atrosecta,,subspecies synonym,1,Obidos BRA PA,-1.9,-55.51666667
10429099,10429099_D_lowres.tif,dorsal,erato,luscombei,female,luscombei,,valid subspecies,1,Caradoc (Hda) PER CU,-13.36666667,-70.95
10428191,10428191_D_lowres.tif,dorsal,melpomene,plesseni,male,plesseni,,valid subspecies,0,Canelos ECD PA,-1.5833333330000001,-77.75
10428383,10428383_D_lowres.tif,dorsal,melpomene,melpomene,female,f._luteipicta_hyb.,ST,hybrid,0,St Laurent du Maroni FRG LM,5.5,-54.03333333
10428042,10428042_D_lowres.tif,dorsal,melpomene,cythera,male,vulcanus_sticheli,ST,hybrid,0,Paramba ECD IM,0.816666667,-78.35
10428958,10428958_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Piste MEX YU,20.71666667,-88.78333333
10428890,10428890_V_lowres.tif,ventral,erato,cyrbia,male,f._cyrbia,,subspecies synonym,1,no data,,
10428647,10428647_V_lowres.tif,ventral,erato,amalfreda,female,amalfreda,,valid subspecies,0,St Laurent du Maroni FRG LM,5.5,-54.03333333
10428926,10428926_D_lowres.tif,dorsal,erato,cyrbia,female,f._cyrbia,,subspecies synonym,1,Arenillas ECD EL,-3.55,-80.06666667
10428953,10428953_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Misantla MEX VC,19.93333333,-96.83333333
10428668,10428668_V_lowres.tif,ventral,erato,erato,male,f._fumata,,hybrid,0,Nouveau Chantier FRG LM,5.55,-53.93333333
10429174,10429174_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Camoapa NIC BO,12.41666667,-85.51666667
10428058,10428058_V_lowres.tif,ventral,melpomene,cythera,male,cythera,,valid subspecies,1,Bolivia  COUNTRY,,
10428455,10428455_V_lowres.tif,ventral,melpomene,vulcanus,female,f._fumosa_hyb.,,hybrid,0,El Banco COL MA,9.016666667,-73.98333333
10428094,10428094_V_lowres.tif,ventral,melpomene,xenoclea,male,f._xenoclea,,subspecies synonym,1,San Remon PER,-11.13333333,-75.35
10428143,10428143_D_lowres.tif,dorsal,melpomene,plesseni,male,plesseni,,valid subspecies,1,Canelos ECD PA,-1.5833333330000001,-77.75
10428421,10428421_D_lowres.tif,dorsal,melpomene,melpomene,female,f._melpomene,,subspecies synonym,1,Obidos BRA PA,-1.9,-55.51666667
10428163,10428163_D_lowres.tif,dorsal,melpomene,plesseni,male,f._corona,,subspecies synonym,1,Partidero ECD PA,-1.4333333330000002,-77.98333333
10429193,10429193_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Puerto Limon CRI LI,9.983333333,-83.06666667
10428980,10428980_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Ob. Pastaza ECD,-1.538391667,-78.06732222
10428284,10428284_V_lowres.tif,ventral,melpomene,aglaope,male,f._aglaope,,subspecies synonym,1,Yungas BOL LP,-16.33333333,-66.75
10428724,10428724_D_lowres.tif,dorsal,erato,erato,female,f._erato,,subspecies synonym,1,Aroewarwa Creek SUR MW,5.233333333,-54.31666667
10429074,10429074_D_lowres.tif,dorsal,erato,etylus,female,f._etylus,,subspecies synonym,1,Gualaquiza ECD MS,-3.416666667,-78.6
10429202,10429202_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Bugaba PAN CQ,8.483333333,-82.61666667
10428520,10428520_D_lowres.tif,dorsal,erato,phyllis,male,f._athene_hyb.,,hybrid,0,Santa Cruz de la Sierra BOL SC,-17.8,-63.16666667
10428716,10428716_V_lowres.tif,ventral,erato,erato,male,ab._constricta,,hybrid,0,Itaituba - Obidos BRA PA,-4.283333333,-55.98333333
10429104,10429104_V_lowres.tif,ventral,erato,emma,male,emma,,valid subspecies,1,Pozuzo  PER PA,-10.11666667,-75.53333333
10428589,10428589_V_lowres.tif,ventral,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Patino Cue PAR CE,-25.35,-57.33333333
10428137,10428137_V_lowres.tif,ventral,melpomene,plesseni,male,plesseni,,valid subspecies,1,Canelos ECD PA,-1.5833333330000001,-77.75
10428654,10428654_D_lowres.tif,dorsal,erato,erato,male,ab._constricta,HT,hybrid,0,St Jean du Maroni FRG LM,5.4,-54.08333333
10428820,10428820_D_lowres.tif,dorsal,erato,hydara,female,f._hydara,,subspecies synonym,1,Muchuchachi VEN ME,8.15,-71.33333333
10428846,10428846_D_lowres.tif,dorsal,erato,venus,male,venus,,valid subspecies,1,Nicaragua COUNTRY,,
10428946,10428946_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Atoyac MEX VC,17.2,-100.4333333
10428704,10428704_V_lowres.tif,ventral,erato,amalfreda,male,ab._leda_hyb,,hybrid,0,Berg - en - Dal SUR BR,5.15,-55.06666667
10428670,10428670_D_lowres.tif,dorsal,erato,erato,male,tellus_hyb.,,hybrid,0,St Jean du Maroni FRG LM,5.4,-54.08333333
10429083,10429083_D_lowres.tif,dorsal,erato,emma,female,emma,,valid subspecies,1,Coca ECD NA,-1.5833333330000001,-77.75
10428251,10428251_D_lowres.tif,dorsal,melpomene,schunkei,male,ab._rubra,,subspecies synonym,1,Chaquimayo PER PU,-13.43333333,-70.38333333
10429183,10429183_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Cape Gracias NIC,15.0,-83.15
10428124,10428124_D_lowres.tif,dorsal,melpomene,amaryllis,female,amaryllis,,valid subspecies,1,Tarapoto PER SM,-6.483333332999999,-76.36666667
10428818,10428818_V_lowres.tif,ventral,erato,hydara,female,f._hydara,,subspecies synonym,1,Maracaibo VEN ZY,10.63166667,-71.64055556
10428454,10428454_V_lowres.tif,ventral,melpomene,vulcanus,female,f._fumosa_hyb.,,hybrid,0,Onaca COL MA,11.18333333,-74.06666667
10428555,10428555_V_lowres.tif,ventral,erato,phyllis,female,anacreon,,hybrid,0,Ecuador  COUNTRY,,
10428467,10428467_V_lowres.tif,ventral,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,San Pablo COL CH,5.216666667,-76.65
10428600,10428600_V_lowres.tif,ventral,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Iguazu Falls ARG MI,-25.68333333,-54.43333333
10428703,10428703_V_lowres.tif,ventral,erato,amalfreda,male,ab._leda_hyb,,hybrid,0,Berg - en - Dal SUR BR,5.15,-55.06666667
10428332,10428332_D_lowres.tif,dorsal,melpomene,thelxiopeia,female,thelxiopeia,,valid subspecies,1,St Jean du Maroni FRG LM,5.4,-54.08333333
10429074,10429074_V_lowres.tif,ventral,erato,etylus,female,f._etylus,,subspecies synonym,1,Gualaquiza ECD MS,-3.416666667,-78.6
10428078,10428078_D_lowres.tif,dorsal,melpomene,xenoclea,male,var._confluens_hyb.,,hybrid,0,Tono Rio PER CU,-12.91666667,-71.4
10428642,10428642_V_lowres.tif,ventral,erato,amalfreda,male,ab._leda_hyb,,hybrid,0,Nouveau Chantier FRG LM,5.55,-53.93333333
10428080,10428080_D_lowres.tif,dorsal,melpomene,xenoclea,male,var._confluens_hyb.,,hybrid,0,Tono Rio PER CU,-12.91666667,-71.4
10428695,10428695_V_lowres.tif,ventral,erato,hydara,female,ab._dryope,,hybrid,0,Obidos BRA PA,-1.9,-55.51666667
10427972,10427972_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Carrillo CRI SJ,9.047222222,-73.97805556
10428403,10428403_D_lowres.tif,dorsal,melpomene,melpomene,female,ab._collis,,hybrid,0,Bas Maroni FRG LM,5.25,-54.25
10428402,10428402_D_lowres.tif,dorsal,melpomene,melpomene,female,ab._collis,,hybrid,0,Nouveau Chantier FRG LM,5.55,-53.93333333
10429156,10429156_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Ucayali Rio PER,-4.466666667,-73.51666667
10428974,10428974_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Acapulco MEX GU,16.85,-99.91666667
10429094,10429094_V_lowres.tif,ventral,erato,luscombei,female,luscombei,,valid subspecies,1,Pebas PER LO,-3.316666667,-71.85
10428728,10428728_D_lowres.tif,dorsal,erato,hydara,male,ab._tristis,,hybrid,0,Boquete PAN CQ,8.783333333,-82.43333333
10428116,10428116_D_lowres.tif,dorsal,melpomene,amaryllis,male,amaryllis,,valid subspecies,1,Tarapoto PER SM,-6.483333332999999,-76.36666667
10428183,10428183_V_lowres.tif,ventral,melpomene,plesseni,male,f._adonis,ST,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10428590,10428590_D_lowres.tif,dorsal,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Asuncion PAR CE,-25.26666667,-57.66666667
10428182,10428182_D_lowres.tif,dorsal,melpomene,plesseni,male,f._adonis,ST,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10428427,10428427_V_lowres.tif,ventral,melpomene,melpomene,male,ab._atrosecta,,subspecies synonym,1,Santarem BRA PA,-2.433333333,-54.71666667
10429037,10429037_V_lowres.tif,ventral,erato,notabilis,male,f._beata,,hybrid,0,Balzapamba ECD BO,-1.783333333,-79.16666667
10428476,10428476_V_lowres.tif,ventral,melpomene,vulcanus,female,f._fumosa_part.,,hybrid,0,Muzo COL BY,5.533333333,-74.1
10429217,10429217_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Matachin PAN CN,9.116666667,-79.7
10428601,10428601_V_lowres.tif,ventral,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Corrientes ARG CO,-27.46666667,-58.83333333
10429107,10429107_D_lowres.tif,dorsal,erato,emma,female,emma,,valid subspecies,1,Madre de Dios Rio Alto PER CU,-12.26666667,-70.93333333
10428269,10428269_D_lowres.tif,dorsal,melpomene,schunkei,female,ab._rubra,,subspecies synonym,1,Chaquimayo PER PU,-13.43333333,-70.38333333
10428615,10428615_V_lowres.tif,ventral,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Pernambuco (=Recife) BRA PE,-8.783333333,-37.7
10428801,10428801_D_lowres.tif,dorsal,erato,guarica,male,guarica,,valid subspecies,0,Villavicencio COL ME,4.15,-73.63333333
10428235,10428235_D_lowres.tif,dorsal,melpomene,aglaope,male,f._aglaope,,subspecies synonym,1,Ila Rio ECD NA,-1.5833333330000001,-77.75
10428001,10428001_D_lowres.tif,dorsal,melpomene,rosina,female,rosina,,valid subspecies,1,Insolita Isla PAN CQ,8.116666667,-81.73333333
10428587,10428587_V_lowres.tif,ventral,erato,phyllis,male,f._phyllis,,subspecies synonym,1,San Jose PAR CZ,-25.55,-56.75
10429184,10429184_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Camoapa NIC BO,12.41666667,-85.51666667
10428621,10428621_D_lowres.tif,dorsal,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Villa Maria - Diamantino BRA MO,-16.08333333,-57.7
10428933,10428933_D_lowres.tif,dorsal,erato,microclea,male,f._microclea,,subspecies synonym,1,Perene Rio PER JU,-11.15,-74.3
10428145,10428145_D_lowres.tif,dorsal,melpomene,plesseni,female,plesseni,,valid subspecies,1,Canelos ECD PA,-1.5833333330000001,-77.75
10428359,10428359_V_lowres.tif,ventral,melpomene,thelxiopeia,male,thelxiopeia,,valid subspecies,0,Bas Maroni FRG LM,5.25,-54.25
10428580,10428580_D_lowres.tif,dorsal,erato,phyllis,female,f._diffluens,ST/AT,subspecies synonym,1,Guayaquil ECD,-2.166666667,-79.96666667
10428881,10428881_D_lowres.tif,dorsal,erato,cyrbia,male,f._cyrbia,,subspecies synonym,1,no data,,
10428832,10428832_V_lowres.tif,ventral,erato,hydara,female,f._hydara,,subspecies synonym,1,San Esteban VEN CA,10.43333333,-68.01666667
10427974,10427974_D_lowres.tif,dorsal,melpomene,rosina,male,rosina,,valid subspecies,1,Santa Clara Valley CRI LI,10.25,-83.75
10428688,10428688_V_lowres.tif,ventral,erato,hydara,male,coralii_hyb,ST,hybrid,0,Serpa BRA AM,-3.166666667,-58.26666667
10428437,10428437_D_lowres.tif,dorsal,melpomene,melpomene,male,ab._atrosecta,ST,subspecies synonym,1,Obidos BRA PA,-1.9,-55.51666667
10428254,10428254_D_lowres.tif,dorsal,melpomene,aglaope,female,f._cognata,,subspecies synonym,1,Pozuzo  PER PA,-10.11666667,-75.53333333
10429083,10429083_V_lowres.tif,ventral,erato,emma,female,emma,,valid subspecies,1,Coca ECD NA,-1.5833333330000001,-77.75
10428981,10428981_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Panama  COUNTRY,,
10428906,10428906_D_lowres.tif,dorsal,erato,cyrbia,male,f._cyrbia,,subspecies synonym,1,Huigra ECD CH,-2.290179,-78.982753
10427968,10427968_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Juan Vinas CRI CA,9.9,-83.73333333
10428953,10428953_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Misantla MEX VC,19.93333333,-96.83333333
10428683,10428683_D_lowres.tif,dorsal,erato,hydara,male,coralii_hyb,,hybrid,0,Maues BRA AM,-3.366666667,-57.71666667
10429027,10429027_V_lowres.tif,ventral,erato,notabilis,male,f._rosacea_hyb.,,hybrid,0,Quirigua GUA,15.31638889,-89.08305556
10428692,10428692_V_lowres.tif,ventral,erato,hydara,female,coralii_hyb,,hybrid,0,Obidos BRA PA,-1.9,-55.51666667
10428659,10428659_D_lowres.tif,dorsal,erato,erato,male,f._albida,HT,hybrid,0,St Jean du Maroni FRG LM,5.4,-54.08333333
10428304,10428304_V_lowres.tif,ventral,melpomene,burchelli,male,burchelli,,valid subspecies,1,Maranhao BRA MH,-2.52972,-44.30278
10428705,10428705_D_lowres.tif,dorsal,erato,erato,female,oberthurii_hyb,ST,hybrid,0,Berg - en - Dal SUR BR,5.15,-55.06666667
10428723,10428723_D_lowres.tif,dorsal,erato,erato,female,f._erato,,subspecies synonym,1,Saramacca River SUR BR,5.25,-55.25
10428335,10428335_D_lowres.tif,dorsal,melpomene,thelxiopeia,female,thelxiopeia,,valid subspecies,1,St Jean du Maroni FRG LM,5.4,-54.08333333
10428426,10428426_V_lowres.tif,ventral,melpomene,melpomene,male,melpomene,,valid subspecies,0,Santarem BRA PA,-2.433333333,-54.71666667
10428128,10428128_D_lowres.tif,dorsal,melpomene,amaryllis,male,amaryllis,,valid subspecies,0,Chazuta PER SM,-6.566666667000001,-76.13333333
10428141,10428141_V_lowres.tif,ventral,melpomene,plesseni,male,plesseni,,valid subspecies,1,Machay Hda ECU TU,-1.4,-78.26666667
10428549,10428549_V_lowres.tif,ventral,erato,venustus,male,ab._Ottonis,,hybrid,0,Santa Cruz de la Sierra BOL SC,-17.8,-63.16666667
10428633,10428633_V_lowres.tif,ventral,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Burity BRA MO,-15.43333333,-55.83333333
10428029,10428029_V_lowres.tif,ventral,melpomene,vulcanus,male,vulcanus,,valid subspecies,1,Juntas Cauca COL VC,3.7833333330000003,-76.16666667
10429163,10429163_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,"V.de Sta. Maria, Pacific Slope GUA",,
10429230,10429230_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Magdalena Valley COL,5.535277777999999,-74.10777778
10428132,10428132_D_lowres.tif,dorsal,melpomene,amaryllis,male,amaryllis_transitional,,hybrid,0,Ashpiyaco ECD,-1.5833333330000001,-77.75
10428513,10428513_V_lowres.tif,ventral,erato,phyllis,male,f._athene_hyb.,,hybrid,0,Santa Cruz de la Sierra BOL SC,-17.8,-63.16666667
10429120,10429120_D_lowres.tif,dorsal,erato,lativitta,male,f._lativitta,,subspecies synonym,0,"Santo Paulo, Amazones",-3.45,-68.8
10428628,10428628_D_lowres.tif,dorsal,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Theophilo Ottoni BRA ME,-17.85,-41.5
10429082,10429082_V_lowres.tif,ventral,erato,emma,female,emma,,valid subspecies,1,Aguano ECD NA,-1.066666667,-77.55
10428106,10428106_D_lowres.tif,dorsal,melpomene,xenoclea,male,xenoclea,,valid subspecies,0,Huancabamba PER PA,-10.38333333,-75.55
10428962,10428962_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Chilpancingo MEX GU,17.55,-99.51666667
10429167,10429167_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,San Pedro Sula HON CR,15.45,-88.03333333
10428008,10428008_D_lowres.tif,dorsal,melpomene,rosina,male,rosina,,valid subspecies,1,Barrios GUA,15.71666667,-88.6
10428057,10428057_V_lowres.tif,ventral,melpomene,cythera,male,cythera,,valid subspecies,1,Quevedo ECD LR,-1.5833333330000001,-77.75
10428173,10428173_D_lowres.tif,dorsal,melpomene,plesseni,female,f._pura,,subspecies synonym,1,Canelos ECD PA,-1.5833333330000001,-77.75
10428680,10428680_D_lowres.tif,dorsal,erato,erato,female,f._fumata,,hybrid,0,St Jean du Maroni FRG LM,5.4,-54.08333333
10428718,10428718_D_lowres.tif,dorsal,erato,erato,male,ab._constricta,,hybrid,0,Berg - en - Dal SUR BR,5.15,-55.06666667
10428332,10428332_V_lowres.tif,ventral,melpomene,thelxiopeia,female,thelxiopeia,,valid subspecies,1,St Jean du Maroni FRG LM,5.4,-54.08333333
10428605,10428605_V_lowres.tif,ventral,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Puerto Aguirre ARG MI,-25.61666667,-54.6
